,urls,status_code,tinken_title,tinken_model,key,value,breadcrumb
24,https://www.mrosupply.com/bearings/5077880_29438ejw18w66-pair_timken/,200,"TIMKEN 29438EJW18W66 PAIR TSR Assembly, Steel Cage <24OD",MODEL 29438EJW18W66 PAIR,[],[],"['Bearings', 'Roller Bearings', 'Roller Thrust Bearings']"
25,https://www.mrosupply.com/bearings/5078833_300rn92-r3_timken/,200,TIMKEN 300RN92 R3 CRB 12-24 OD Timken Single Row,MODEL 300RN92 R3,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
26,https://www.mrosupply.com/bearings/5066799_320rn92-r2_timken/,200,TIMKEN 320RN92 R2 CRB 12-24 OD Timken Single Row,MODEL 320RN92 R2,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
27,https://www.mrosupply.com/bearings/5068032_320ru30-oc1175-r4_timken/,200,TIMKEN 320RU30 OC1175 R4 CRB 12-24 OD Timken Single Row,MODEL 320RU30 OC1175 R4,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
28,https://www.mrosupply.com/bearings/5078701_360ru32-aa1112-r3_timken/,200,TIMKEN 360RU32 AA1112 R3 CRB 24-36 OD Timken Single Row,MODEL 360RU32 AA1112 R3,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
29,https://www.mrosupply.com/bearings/5059860_70tps132-ob1275_timken/,200,TIMKEN 70TPS132 OB1275 CRB Thrust < 24 OD,MODEL 70TPS132 OB1275,[],[],"['Bearings', 'Roller Bearings', 'Roller Thrust Bearings']"
30,https://www.mrosupply.com/bearings/5077100_90riu399-oo771-r3_timken/,200,TIMKEN 90RIU399 OO771 R3 CRB 12-24 OD Timken Single Row,MODEL 90RIU399 OO771 R3,[],[],"['Bearings', 'Roller Bearings', 'Cylindrical Roller Bearings', 'Straight / Round Bore Cylindrical Roller Bearings']"
31,https://www.mrosupply.com/bearings/5077992_ca-355_timken/,200,TIMKEN CA 355 SRB Pillow Block Assembly,MODEL CA 355,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Pillow Block Bearings', '2-Bolt Pillow Block Bearings']"
32,https://www.mrosupply.com/bearings/5100419_fsnt-532_timken/,200,TIMKEN FSNT 532 SRB Plummer Block Housing Only,MODEL FSNT 532,[],[],"['Bearings', 'Mounted Bearings', 'Mounted Roller Bearings', 'Housings']"
33,https://www.mrosupply.com/bearings/5073532_ll483448-90011_timken/,200,TIMKEN LL483448-90011 TRB Single Assembly 24-36 OD,MODEL LL483448-90011,[],[],"['Bearings', 'Roller Bearings', 'Taper Roller Bearings', 'Taper Roller Bearing Full Assemblies']"
